experiment,epoch,train_loss,val_loss,val_accuracy
B1_Basic_SGD,1,2.302703273306953,2.3028358070373534,0.0942
B1_Basic_SGD,2,2.3022772771199542,2.3022871215820313,0.0942
B1_Basic_SGD,3,2.301814377975464,2.301539358520508,0.1288
B1_Basic_SGD,4,2.3008472872416177,2.2998034729003907,0.1592
B1_Basic_SGD,5,2.2968500187767877,2.288785877609253,0.1658
B1_Basic_SGD,6,2.245157429843479,2.168589182281494,0.2094
B1_Basic_SGD,7,2.151700168185764,2.0870579902648925,0.2546
B1_Basic_SGD,8,2.049793733066983,1.98240855178833,0.2946
B1_Basic_SGD,9,1.9596875963846843,1.916045108795166,0.3026
B1_Basic_SGD,10,1.8672586612701416,1.7823153829574585,0.352
B1_Basic_SGD,11,1.7755681861877441,1.7109859668731688,0.377
B1_Basic_SGD,12,1.703693362320794,1.6286530185699464,0.4022
B1_Basic_SGD,13,1.658770236269633,1.6092103225708008,0.4062
B1_Basic_SGD,14,1.6184420033772786,1.5795121644973755,0.427
B1_Basic_SGD,15,1.5843468909157647,1.5099442464828492,0.453
B1_Basic_SGD,16,1.5568338876724244,1.5639588779449463,0.4322
B1_Basic_SGD,17,1.53056824154324,1.4734505111694336,0.462
B1_Basic_SGD,18,1.5058502672831218,1.4502079765319824,0.4682
B1_Basic_SGD,19,1.4836835571289062,1.4689330360412598,0.4602
B1_Basic_SGD,20,1.4559502505408393,1.4827340021133424,0.4652
B2_BN_DO02_SGDM,1,1.4483621185938518,1.1712819652557374,0.5828
B2_BN_DO02_SGDM,2,1.019630750910441,1.0051056239128113,0.6392
B2_BN_DO02_SGDM,3,0.8501785076565213,0.7599072558403015,0.7344
B2_BN_DO02_SGDM,4,0.745469459607866,0.8891341796875,0.6784
B2_BN_DO02_SGDM,5,0.6797209462059869,0.6650897345542908,0.762
B2_BN_DO02_SGDM,6,0.6246999868498908,0.6270388502120972,0.7894
B2_BN_DO02_SGDM,7,0.5898939192877876,0.6276599382400513,0.7758
B2_BN_DO02_SGDM,8,0.5614347533437941,0.613492295217514,0.7852
B2_BN_DO02_SGDM,9,0.5256796747313606,0.5153263833165169,0.816
B2_BN_DO02_SGDM,10,0.5019219732602437,0.5102713107824326,0.8258
B2_BN_DO02_SGDM,11,0.4774388716591729,0.5001756147384644,0.8214
B2_BN_DO02_SGDM,12,0.45593249222437543,0.49473914045095446,0.8278
B2_BN_DO02_SGDM,13,0.43777169725630016,0.4599467969894409,0.8324
B2_BN_DO02_SGDM,14,0.4245810929934184,0.4627731585025787,0.837
B2_BN_DO02_SGDM,15,0.4076837374051412,0.4694945933818817,0.8448
B2_BN_DO02_SGDM,16,0.39408048809899227,0.4787694956302643,0.84
